SampleID,PBlueEye,PIntermediateEye,PBrownEye,Full_AUC_BlueEye,Full_AUC_IntermediateEye,Full_AUC_BrownEye,Numb_missingSNPs_Eye,Name_missingSNPs_Eye,AUC_Loss_BlueEye,AUC_Loss_IntermediateEye,AUC_Loss_BrownEye,PBlondHair,PBrownHair,PRedHair,PBlackHair,Full_AUC_BlondHair,Full_AUC_BrownHair,Full_AUC_RedHair,Full_AUC_BlackHair,Numb_missingSNPs_Hair,Name_missingSNPs_Hair,AUC_Loss_BlondHair,AUC_Loss_BrownHair,AUC_Loss_RedHair,AUC_Loss_BlackHair,PLightHair,PDarkHair,Full_AUC_HairShade,Numb_missingSNPs_HairShade,Name_missingSNPs_HairShade,AUC_Loss_HairShade,PVeryPaleSkin,PPaleSkin,PIntermediateSkin,PDarkSkin,PDarktoBlackSkin,Full_AUC_Very PaleSkin,Full_AUC_PaleSkin,Full_AUC_IntermediateSkin,Full_AUC_DarkSkin,Full_AUC_DarktoBlackSkin,Numb_missingSNPs_Skin,Name_missingSNPs_Skin,AUC_Loss_VeryPaleSkin,AUC_Loss_PaleSkin,AUC_Loss_IntermediateSkin,AUC_Loss_DarkSkin,AUC_Loss_DarktoBlackSkin
HG00108,0.925846707834869,0.0570714663918109,0.0170818257733202,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.0785433768323189,0.0652664192957058,0.854027481048321,0.0021627228236538,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.984190785361613,0.0158092146383871,0.905443611371445,0,,0,0.439248283638427,0.270090174121208,0.290661542236578,3.36054717844888e-12,4.26399479396238e-13,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00109,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.716768129082597,0.225461561294644,0.00345941858964338,0.0543108910331164,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.94249050433241,0.0575094956675901,0.905443611371445,0,,0,0.0209618975108226,0.162771909225928,0.747316999144355,0.00840373670365417,0.0605454574152399,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00110,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.515467076141431,0.438116184694274,0.00725427351150799,0.039162465652787,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.928054679794323,0.0719453202056775,0.905443611371445,0,,0,0.00676451447528659,0.0820796417931863,0.870070851472933,0.00611869516921188,0.0349662970893821,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00111,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.657452141352119,0.237303615325076,0.0962045952385256,0.00903964808427948,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.990848496462116,0.00915150353788433,0.905443611371445,0,,0,0.154127242349685,0.181749678162275,0.658146782880422,0.00559510903729381,0.000381187570323412,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00112,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.765540864593131,0.189292211143209,0.00772797641347543,0.0374389478501845,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.967926322057071,0.0320736779429287,0.905443611371445,0,,0,0.0706987358416914,0.104884629217796,0.773038307104098,0.00295901590871712,0.0484193119276972,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00113,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.731534361212884,0.233906783258583,0.00303479194629315,0.0315240635822403,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.962024637240453,0.0379753627595471,0.905443611371445,0,,0,0.0161614511235732,0.0529202156210981,0.900539964005288,0.00487821704947205,0.0255001522005691,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00114,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.648218152630216,0.207441990201788,0.137179543035344,0.00716031413265281,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.993239773556831,0.00676022644316923,0.905443611371445,0,,0,0.210350949188543,0.151883367202806,0.633209789001742,0.00435134560654032,0.000204549000368866,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00115,0.911091001897925,0.0565970336881105,0.0323119644139641,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.713709995989979,0.196286774111441,0.0821542750446951,0.00784895485388507,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.993463191409098,0.00653680859090213,0.905443611371445,0,,0,0.0780234007303369,0.0908176141655514,0.820773239721012,0.0103332190580405,5.25263250588155e-05,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00116,0.847810290408105,0.0876628457066565,0.0645268638852381,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.644842367214578,0.318199889684254,0.00561564945188017,0.0313420936492879,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.96214467778889,0.0378553222111104,0.905443611371445,0,,0,0.0182691120446207,0.0861433989123126,0.882496591121681,0.0079534418880858,0.00513745603329958,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
HG00117,0.783516489113402,0.0882481905741486,0.12823532031245,0.938973644229622,0.736088610355666,0.94607779085541,0,,0,0,0,0.218896145272893,0.527047079066768,0.196044392645238,0.0580123830151002,0.81328159107446,0.741065453474718,0.928933015939974,0.859248131984826,0,,0,0,0,0,0.776275410813446,0.223724589186554,0.905443611371445,0,,0,0.00474127036134712,0.031805077008781,0.664272805650552,0.0548651085052096,0.244315738474111,0.829988448209477,0.762796346988106,0.783304272013948,0.980616700828803,0.993473368342079,0,,0,0,0,0,0
